Quasar,ra,dec,redshift,redshift_reference,m1450,Mabs1450,redshift_mgii,redshift_mgii_err,redshift_mgii_ref,fwhm_mgii,fwhm_mgii_err_up,fwhm_mgii_err_low,L3000,L3000err_up,L3000err_low,BHmass,BHmass_reference
J000009.99-041626.09,0.041636,-4.273915,5.77,Banados2022,20.79,-25.84,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J000019.33-181409.64,0.08054,-18.236011,5.95,Banados2022,21.52,-25.16,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J000121.63+265009.18,0.34012,26.835883,5.75,Banados2016,19.52,-27.11,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J000133.30+000605.40,0.38875,0.1015,6.13,Matsuoka2019a,23.01,-23.72,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J000142.54+000057.50,0.42725,0.015972,6.69,Matsuoka2019a,22.38,-24.49,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J000239.39+255034.80,0.664125,25.842999,5.817,Shen2019,19.39,-27.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J000445.81-004944.30,1.190875,-0.828972,6.1,Matsuoka2019a,22.82,-23.9,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J000552.34-000655.80,1.468083,-0.1155,5.85,Fan2004,20.98,-25.67,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J000645.36-284042.05,1.688995,-28.678347,5.95,Banados2022,21.07,-25.61,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J000825.77-062604.42,2.10739,-6.43456,5.93,Banados2016,20.41,-26.26,nan,nan,--,2234.8,289.7,289.7,2.073157,0.008581,0.008581,5.21,Shen2019
J000930.89+325212.93,2.378699,32.870258,6.1,Banados2016,21.13,-25.59,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J001010.30+030347.57,2.542922,3.063213,5.64,Banados2022,20.92,-25.67,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J001150.05-244400.17,2.958535,-24.733381,5.41,Wenzl2021,19.08,-27.45,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J001232.88+363216.10,3.137004,36.537806,5.44,Yang2019a,19.29,-27.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J001247.71+033716.90,3.198792,3.621361,6.12,Matsuoka2022,21.59,-25.14,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J001650.69+034154.10,4.211208,3.698361,6.26,Matsuoka2022,23.12,-23.64,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J001734.47+170510.70,4.393613,17.086304,5.8166,Eilers2020,20.69,-25.95,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J001915.38-241756.98,4.81408,-24.29916,5.68,Banados2016,19.43,-27.18,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J002031.47-365341.82,5.13113,-36.89495,6.834,Reed2019,19.98,-26.92,6.834,0.0004,Reed2019,3800,360,360,2.62,0.05,0.05,16.93,Reed2019
J002334.65+034223.20,5.894375,3.706444,6.12,Matsuoka2022,22.73,-24,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J002429.77+391318.97,6.12405,39.221936,6.621,Mazzucchelli2017,20,-26.85,6.62,0.004,Yang2021,1741,118,118,1.514563,0.194175,0.194175,2.7,Yang2021
J002806.56+045725.68,7.027332,4.957134,6.0015,Venemans2020,20.11,-26.58,5.995,0.005,Farina2022,3203,1925,591,3.91,0.130097,0.157282,14.7,Farina2022
J003125.86+071036.92,7.85775,7.176922,5.33,Wang2016,20.21,-26.29,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
