# Graham & Sahu 2023, MNRAS 518, 2177 (arXiv:2209.14526)
# Table 1 -- M_BH vs spheroid and total galaxy stellar mass
# NOTE: 2024 erratum (Graham & Sahu 2024, MNRAS 530, 3429)
# subtracts 0.15 dex from BOTH log M_*sph and log M_*gal --
# apply that correction at load time, do NOT pre-apply here.
name,gtype,log_Mstar_sph,log_Mstar_sph_err,log_Mstar_gal,log_Mstar_gal_err,log_MBH,log_MBH_err
Circinus,S,9.46,0.29,9.97,0.22,6.25,0.11
IC 1459,E,11.69,0.17,11.69,0.17,9.38,0.2
IC 2560,S,9.66,0.23,10.69,0.18,6.52,0.11
IC 4296,E,11.72,0.14,11.74,0.14,9.1,0.09
NGC 0224,S,10.23,0.15,11.01,0.13,8.15,0.16
NGC 0253,S,9.76,0.25,10.71,0.13,7.0,0.3
NGC 0404,ES/S0,8.03,0.5,9.19,0.16,5.74,0.1
NGC 0524,ES/S0,10.88,0.15,11.38,0.13,9.0,0.1
NGC 0821,E,10.84,0.15,10.9,0.14,7.59,0.17
NGC 1023,ES/S0,10.33,0.16,10.89,0.14,7.62,0.05
NGC 1097,S,10.84,0.25,11.42,0.13,8.38,0.04
NGC 1194,ES/S0,10.78,0.16,11.01,0.14,7.82,0.04
NGC 1275,E,11.56,0.18,11.6,0.17,8.88,0.21
NGC 1300,S,9.68,0.2,10.55,0.14,7.86,0.14
NGC 1316,ES/S0,11.05,0.35,11.69,0.31,8.16,0.29
NGC 1320,S,10.13,0.16,10.7,0.14,6.77,0.22
NGC 1332,ES/S0,11.15,0.15,11.17,0.14,9.15,0.07
NGC 1374,ES/S0,10.3,0.16,10.59,0.13,8.76,0.05
NGC 1398,S,10.76,0.29,11.44,0.2,8.03,0.11
NGC 1399,E,11.46,0.16,11.46,0.16,8.67,0.06
NGC 1407,E,11.6,0.17,11.66,0.16,9.65,0.08
NGC 1600,E,12.06,0.13,12.06,0.13,10.25,0.04
NGC 2273,S,10.35,0.22,10.83,0.17,6.95,0.06
NGC 2549,ES/S0,9.67,0.19,10.21,0.17,7.15,0.6
NGC 2778,ES/S0,9.49,0.23,10.15,0.17,7.18,0.35
NGC 2787,ES/S0,9.37,0.24,10.1,0.19,7.59,0.09
NGC 2960,S,10.44,0.16,10.86,0.14,7.07,0.05
NGC 2974,S,10.48,0.22,10.98,0.16,8.23,0.07
NGC 3031,S,10.34,0.25,10.83,0.13,7.83,0.09
NGC 3079,S,9.88,0.29,10.64,0.2,6.38,0.12
NGC 3091,E,11.86,0.2,11.86,0.2,9.62,0.08
NGC 3115,ES/S0,10.87,0.14,10.95,0.13,8.94,0.25
NGC 3227,S,10.31,0.22,11.07,0.16,7.97,0.14
NGC 3245,ES/S0,10.12,0.17,10.7,0.15,8.3,0.12
NGC 3368,S,9.95,0.17,10.83,0.17,6.89,0.11
NGC 3377,E,10.3,0.14,10.36,0.13,7.89,0.03
NGC 3379,E,10.97,0.2,10.97,0.2,8.62,0.13
NGC 3384,ES/S0,10.14,0.16,10.67,0.14,7.23,0.05
NGC 3414,E,10.95,0.19,10.98,0.18,8.38,0.09
NGC 3489,ES/S0,9.53,0.2,10.3,0.14,6.76,0.07
NGC 3585,E,11.38,0.15,11.39,0.14,8.49,0.13
NGC 3607,E,11.43,0.17,11.46,0.17,8.16,0.18
NGC 3608,E,10.98,0.14,10.98,0.14,8.3,0.17
NGC 3627,S,9.72,0.21,10.76,0.2,6.94,0.09
NGC 3665,ES/S0,11.14,0.16,11.39,0.14,8.76,0.1
