#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-14T20:54:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-14T20:54:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/813/82/agn&-out=Seq,z,iMag,g-i,logM*,logMBH&-out.max=300	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18130082
#Name: J/ApJ/813/82
#Title: z<0.06 broad-line AGN emission-line measures (Reines+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/813/82	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/813/82	    IVOID of underlying data collection
#INFO	creator=Reines A.E.	    First author or institution
#INFO	cites=bibcode:2015ApJ...813...82R	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/813/82	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18130082	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-07-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_813_82_agn:
#Name: J/ApJ/813/82/agn
#Title: 244 broad-line AGN properties and emission line measurements (tables 1 and 2)
#Column	Seq	(I3)	Running identification number	[ucd=meta.id]
#Column	z	(F7.4)	[0.001/0.06] Redshift (1)	[ucd=src.redshift]
#Column	iMag	(F6.2)	[-23.4/-18.6] Absolute i-band magnitude (2)	[ucd=phys.magAbs]
#Column	g-i	(F5.2)	[0.4/1.8] The (g-i) color index (2)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	logM*	(F5.2)	[8.9/11.5] Log stellar mass; corrected for AGN contribution (3)	[ucd=phys.mass]
#Column	logMBH	(F5.2)	[5/8.2] Log black hole mass (3)	[ucd=phys.mass]
Seq	z	iMag	g-i	logM*	logMBH
 	 	mag	mag	[Msun]	[Msun]
---	-------	------	-----	-----	-----
  1	 0.0422	-21.81	 1.06	10.68	 6.21
  2	 0.0424	-21.10	 1.10	10.43	 7.07
  3	 0.0548	-22.77	 0.49	10.47	 7.65
  4	 0.0419	-22.60	 0.99	10.92	 8.11
  5	 0.0296	-20.64	 0.96	10.11	 5.70
  6	 0.0447	-22.14	 0.86	10.61	 6.50
  7	 0.0479	-21.29	 0.95	10.36	 6.72
  8	 0.0388	-20.22	 0.67	 9.64	 6.76
  9	 0.0486	-21.86	 0.95	10.58	 6.36
 10	 0.0247	-21.57	 1.08	10.61	 6.51
 11	 0.0520	-23.24	 1.29	11.49	 7.03
 12	 0.0333	-22.02	 0.50	10.19	 6.74
 13	 0.0502	-21.78	 1.09	10.70	 6.82
 14	 0.0455	-22.08	 1.23	10.96	 7.25
 15	 0.0547	-21.94	 0.65	10.31	 7.11
 16	 0.0267	-22.59	 1.11	11.05	 6.99
 17	 0.0410	-21.47	 0.99	10.47	 7.80
 18	 0.0179	-21.47	 1.03	10.51	 6.59
 19	 0.0529	-23.31	 1.08	11.30	 7.70
 20	 0.0324	-22.29	 1.12	10.93	 5.83
 21	 0.0413	-20.73	 0.91	10.09	 6.46
 22	 0.0524	-20.24	 1.06	10.05	 6.08
 23	 0.0539	-21.89	 1.16	10.81	 7.08
 24	 0.0413	-22.95	 0.86	10.93	 6.75
 25	 0.0389	-19.49	 1.01	 9.70	 6.48
 26	 0.0455	-20.96	 1.07	10.35	 7.40
 27	 0.0254	-20.35	 0.74	 9.77	 5.66
 28	 0.0215	-20.54	 1.19	10.31	 6.28
 29	 0.0444	-21.44	 1.16	10.64	 6.88
 30	 0.0471	-22.32	 1.29	11.11	 7.66
 31	 0.0493	-21.40	 0.95	10.40	 7.05
 32	 0.0435	-19.10	 0.57	 9.09	 6.26
 33	 0.0124	-22.02	 1.06	10.77	 6.73
 34	 0.0285	-22.83	 1.10	11.12	 6.84
 35	 0.0449	-21.90	 1.19	10.84	 6.99
 36	 0.0495	-22.96	 1.20	11.29	 6.91
 37	 0.0506	-21.68	 0.58	10.13	 7.73
 38	 0.0470	-19.40	 0.66	 9.30	 5.40
 39	 0.0495	-21.96	 1.01	10.69	 7.16
 40	 0.0464	-20.91	 1.28	10.54	 7.01
