# Sahu, Graham & Davis 2019, ApJ 887, 10 (arXiv:1908.06838)
# Table 1 -- M_BH vs central sigma for 145 local galaxies
name,gtype,log_sigma_kms,log_MBH,log_MBH_err
IC 1459,ETG,2.47,9.38,0.2
NGC 0821,ETG,2.3,7.59,0.17
NGC 1023,ETG,2.29,7.62,0.05
NGC 1316,ETG,2.35,8.18,0.26
NGC 1332,ETG,2.47,9.16,0.07
NGC 1399,ETG,2.52,8.67,0.06
NGC 2549,ETG,2.15,7.15,0.6
NGC 2778,ETG,2.19,7.18,0.34
NGC 3091,ETG,2.49,9.56,0.04
NGC 3115,ETG,2.42,8.94,0.25
NGC 3245,ETG,2.32,8.3,0.12
NGC 3377,ETG,2.13,7.89,0.04
NGC 3379 (M 105),ETG,2.31,8.6,0.12
NGC 3384,ETG,2.16,7.23,0.05
NGC 3414,ETG,2.38,8.38,0.06
NGC 3489,ETG,2.02,6.76,0.07
NGC 3585,ETG,2.33,8.49,0.13
NGC 3607,ETG,2.35,8.11,0.18
NGC 3608,ETG,2.29,8.3,0.18
NGC 3842,ETG,2.49,9.99,0.13
NGC 3998,ETG,2.42,8.91,0.11
NGC 4261,ETG,2.47,8.7,0.09
NGC 4291,ETG,2.47,8.52,0.36
NGC 4374 (M 84),ETG,2.44,8.95,0.05
NGC 4459,ETG,2.24,7.83,0.09
NGC 4472 (M 49),ETG,2.45,9.4,0.05
NGC 4473,ETG,2.25,8.08,0.36
NGC 4486 (M 87),ETG,2.51,9.81,0.05
NGC 4564,ETG,2.19,7.78,0.06
NGC 4596,ETG,2.15,7.9,0.2
NGC 4621 (M 59),ETG,2.36,8.59,0.05
NGC 4697,ETG,2.22,8.26,0.05
NGC 4889,ETG,2.59,10.32,0.44
NGC 5077,ETG,2.4,8.87,0.22
NGC 5128,ETG,2.01,7.65,0.13
NGC 5576,ETG,2.26,8.2,0.1
NGC 5846,ETG,2.38,9.04,0.05
NGC 6251,ETG,2.49,8.77,0.16
NGC 7619,ETG,2.5,9.4,0.09
NGC 7768,ETG,2.46,9.11,0.15
NGC 1271,ETG,2.44,9.48,0.16
NGC 1277,ETG,2.48,9.08,0.12
A1836 BCG,ETG,2.49,9.59,0.06
A3565 BCG (IC 4296),ETG,2.52,9.04,0.09
Mrk 1216,ETG,2.51,9.69,0.16
NGC 0307,ETG,2.43,8.34,0.13
NGC 0404,ETG,1.54,4.85,0.13
NGC 0524,ETG,2.37,8.92,0.1
NGC 1194,ETG,2.17,7.81,0.04
NGC 1275,ETG,2.39,8.9,0.2
NGC 1374,ETG,2.25,8.76,0.05
NGC 1407,ETG,2.42,9.65,0.08
NGC 1550,ETG,2.48,9.57,0.06
NGC 1600,ETG,2.52,10.23,0.05
NGC 2787,ETG,2.28,7.6,0.06
NGC 3665,ETG,2.33,8.76,0.1
NGC 3923,ETG,2.39,9.45,0.13
NGC 4026,ETG,2.24,8.26,0.11
NGC 4339,ETG,2.05,7.63,0.33
NGC 4342,ETG,2.38,8.65,0.18
NGC 4350,ETG,2.26,8.86,0.41
NGC 4371,ETG,2.11,6.85,0.08
NGC 4429,ETG,2.24,8.18,0.09
NGC 4434,ETG,2.07,7.85,0.17
NGC 4486B,ETG,2.22,8.76,0.24
NGC 4526,ETG,2.35,8.67,0.05
NGC 4552,ETG,2.4,8.67,0.05
NGC 4578,ETG,2.05,7.28,0.35
NGC 4649,ETG,2.52,9.67,0.1
NGC 4742,ETG,2.01,7.15,0.18
NGC 4751,ETG,2.54,9.15,0.05
NGC 4762,ETG,2.15,7.36,0.15
NGC 5018,ETG,2.33,8.02,0.09
NGC 5252,ETG,2.27,9.0,0.4
NGC 5328,ETG,2.5,9.67,0.15
NGC 5419,ETG,2.54,9.86,0.14
NGC 5516,ETG,2.49,9.52,0.06
NGC 5813,ETG,2.37,8.83,0.06
NGC 5845,ETG,2.36,8.41,0.22
NGC 6086,ETG,2.51,9.57,0.17
NGC 6861,ETG,2.59,9.3,0.08
NGC 7052,ETG,2.45,8.57,0.23
NGC 7332,ETG,2.11,7.11,0.2
NGC 7457,ETG,1.83,7.0,0.3
NGC 4486A,ETG,2.12,7.1,0.32
NGC 5102,ETG,1.79,5.94,0.38
NGC 5206,ETG,1.62,5.67,0.36
NGC 0584,ETG,2.33,8.11,0.18
NGC 2784,ETG,2.39,8.0,0.31
NGC 3640,ETG,2.24,7.89,0.34
NGC 4281,ETG,2.5,8.73,0.08
NGC 4570,ETG,2.32,7.83,0.14
NGC 7049,ETG,2.42,8.51,0.12
NGC 3258,ETG,2.41,9.35,0.05
NGC 3706,ETG,2.41,8.78,0.06
Circinus,LTG,2.17,6.25,0.11
Cygnus A,LTG,2.43,9.44,0.13
ESO558-G009,LTG,2.23,7.26,0.04
IC 2560,LTG,2.14,6.49,0.2
J0437+2456,LTG,2.04,6.51,0.05
Milky Way,LTG,2.02,6.6,0.02
Mrk 1029,LTG,2.12,6.33,0.12
NGC 0224,LTG,2.19,8.15,0.16
NGC 0253,LTG,1.98,7.0,0.3
NGC 1068,LTG,2.21,6.75,0.08
NGC 1097,LTG,2.29,8.38,0.04
NGC 1300,LTG,2.34,7.71,0.16
NGC 1320,LTG,2.04,6.78,0.29
NGC 1398,LTG,2.29,8.03,0.11
NGC 2273,LTG,2.15,6.97,0.09
NGC 2748,LTG,1.98,7.54,0.21
NGC 2960,LTG,2.22,7.06,0.17
NGC 2974,LTG,2.37,8.23,0.07
NGC 3031,LTG,2.18,7.83,0.09
NGC 3079,LTG,2.24,6.38,0.12
NGC 3227,LTG,2.1,7.88,0.14
NGC 3368,LTG,2.07,6.89,0.09
NGC 3393,LTG,2.3,7.49,0.05
NGC 3627,LTG,2.1,6.95,0.05
NGC 4151,LTG,1.96,7.68,0.37
NGC 4258,LTG,2.12,7.6,0.01
NGC 4303,LTG,1.98,6.58,0.17
NGC 4388,LTG,2.0,6.9,0.11
NGC 4395,LTG,1.42,5.64,0.17
NGC 4501,LTG,2.22,7.13,0.08
NGC 4594,LTG,2.35,8.81,0.03
NGC 4699,LTG,2.28,8.34,0.1
NGC 4736,LTG,2.03,6.78,0.1
NGC 4826,LTG,1.99,6.07,0.15
NGC 4945,LTG,2.07,6.15,0.3
NGC 5055,LTG,2.0,8.94,0.1
NGC 5495,LTG,2.22,7.04,0.08
NGC 5765b,LTG,2.21,7.72,0.05
NGC 6264,LTG,2.2,7.51,0.06
NGC 6323,LTG,2.2,7.02,0.14
NGC 7582,LTG,2.07,7.67,0.09
UGC 3789,LTG,2.03,7.06,0.05
UGC 6093,LTG,2.19,7.41,0.03
NGC 0613,LTG,2.09,7.57,0.15
NGC 1365,LTG,2.15,6.6,0.3
NGC 1566,LTG,1.99,6.83,0.3
NGC 1672,LTG,2.04,7.7,0.1
NGC 3504,LTG,2.08,7.01,0.07
